20May1979,17600
21May1979,14600
22May1979,12000
23May1979,11300
24May1979,11100
25May1979,14000
26May1979,23000
27May1979,45000
28May1979,26000
29May1979,29900
30May1979,26300
31May1979,21100
01Jun1979,20200
02Jun1979,18200
03Jun1979,17000
04Jun1979,16200
05Jun1979,15500
06Jun1979,20100
07Jun1979,17400
08Jun1979,18200
09Jun1979,15900
10Jun1979,15000
11Jun1979,16100
12Jun1979,17500
13Jun1979,21100
14Jun1979,19000
15Jun1979,16600
16Jun1979,12700
17Jun1979,10600
18Jun1979,8900
19Jun1979,13800
20Jun1979,16400
21Jun1979,17400
22Jun1979,19600
23Jun1979,30000
24Jun1979,41000
25Jun1979,35500
26Jun1979,36000
27Jun1979,23400
28Jun1979,20700
29Jun1979,17000
30Jun1979,14300
01Jul1979,10500
02Jul1979,8200
03Jul1979,7500
04Jul1979,9200
05Jul1979,10700
06Jul1979,12200
07Jul1979,12600
08Jul1979,11500
09Jul1979,10200
10Jul1979,7900
11Jul1979,6700
12Jul1979,7800
13Jul1979,10000
14Jul1979,8900
15Jul1979,8900
16Jul1979,8700
17Jul1979,15300
18Jul1979,14600
19Jul1979,14500
20Jul1979,12900
21Jul1979,10200
22Jul1979,9400
23Jul1979,11000
24Jul1979,11200
25Jul1979,9900
26Jul1979,16400
27Jul1979,14500
28Jul1979,16500
29Jul1979,47600
30Jul1979,30400
31Jul1979,27100
01Aug1979,23300
02Aug1979,18400
03Aug1979,15400
04Aug1979,13600
05Aug1979,14500
06Aug1979,11400
07Aug1979,8900
08Aug1979,6600
09Aug1979,7000
10Aug1979,6500
11Aug1979,6000
12Aug1979,6400
13Aug1979,7600
14Aug1979,15100
15Aug1979,10500
16Aug1979,10900
17Aug1979,8300
18Aug1979,7200
19Aug1979,6300
20Aug1979,8200
21Aug1979,16200
22Aug1979,10200
23Aug1979,10700
24Aug1979,8600
25Aug1979,8900
26Aug1979,8600
27Aug1979,9400
28Aug1979,10300
29Aug1979,11900
30Aug1979,12900
31Aug1979,11900
01Sep1979,10400
02Sep1979,9500
03Sep1979,8300
04Sep1979,6400
05Sep1979,6300
06Sep1979,7900
07Sep1979,27600
08Sep1979,31000
09Sep1979,24200
10Sep1979,20600
11Sep1979,16400
12Sep1979,11700
13Sep1979,9500
14Sep1979,12900
15Sep1979,11900
16Sep1979,10400
17Sep1979,7500
18Sep1979,6000
19Sep1979,6700
20Sep1979,7400
21Sep1979,7600
22Sep1979,16400
23Sep1979,47500
24Sep1979,58100
25Sep1979,51000
26Sep1979,30800
27Sep1979,21000
28Sep1979,20100
29Sep1979,17600
30Sep1979,22300
01Oct1979,20400
02Oct1979,19500
03Oct1979,23200
04Oct1979,26000
05Oct1979,24100
06Oct1979,26700
07Oct1979,28600
08Oct1979,24600
09Oct1979,21600
10Oct1979,29900
11Oct1979,46600
12Oct1979,51200
13Oct1979,50000
14Oct1979,42100
15Oct1979,39500
16Oct1979,39500
17Oct1979,30400
18Oct1979,27900
19Oct1979,20900
20Oct1979,19000
21Oct1979,17000
22Oct1979,15000
23Oct1979,12900
24Oct1979,12000
