prob value
0.552054794520548 9000.0
0.5547945205479452 8900.0
0.5575342465753425 8900.0
0.5602739726027397 8900.0
0.563013698630137 8800.0
0.5657534246575342 8700.0
0.5684931506849316 8700.0
0.5712328767123288 8600.0
0.5739726027397261 8600.0
0.5767123287671233 8600.0
0.5794520547945206 8600.0
0.5821917808219178 8600.0
0.584931506849315 8500.0
0.5876712328767123 8500.0
0.5904109589041096 8500.0
0.5931506849315068 8400.0
0.5958904109589042 8400.0
0.5986301369863014 8400.0
0.6013698630136987 8400.0
0.6041095890410959 8300.0
0.6068493150684932 8200.0
0.6095890410958904 8100.0
0.6123287671232877 8100.0
0.6150684931506849 8000.0
0.6178082191780822 7900.0
0.6205479452054794 7900.0
0.6232876712328768 7800.0
0.626027397260274 7700.0
0.6287671232876713 7700.0
